,Date,Open,High,Low,Close,Adj Close,Volume
95,"Feb 26, 2020","1,410.00","1,412.35","1,387.35","1,392.00","1,386.79","13,423,661"
96,"Feb 25, 2020","1,451.40","1,451.40","1,410.00","1,416.40","1,411.10","12,684,109"
97,"Feb 24, 2020","1,469.75","1,477.00","1,439.55","1,444.95","1,439.54","9,769,743"
98,"Feb 20, 2020","1,497.00","1,508.00","1,483.80","1,485.95","1,480.39","7,722,577"
99,"Feb 19, 2020","1,479.35","1,506.45","1,475.10","1,503.80","1,498.17","6,438,918"
100,"Feb 18, 2020","1,475.90","1,475.90","1,457.40","1,467.40","1,461.91","5,086,964"
101,"Feb 17, 2020","1,489.00","1,506.15","1,474.30","1,478.25","1,472.72","6,011,340"
102,"Feb 14, 2020","1,477.25","1,501.45","1,453.10","1,487.60","1,482.04","9,704,655"
103,"Feb 13, 2020","1,477.75","1,477.75","1,462.60","1,474.15","1,468.64","6,201,763"
104,"Feb 12, 2020","1,456.15","1,474.85","1,455.00","1,470.30","1,464.80","6,187,091"
105,"Feb 11, 2020","1,447.40","1,466.20","1,445.05","1,452.75","1,447.32","6,400,245"
106,"Feb 10, 2020","1,428.00","1,445.50","1,410.45","1,435.60","1,430.23","6,922,631"
107,"Feb 07, 2020","1,451.00","1,452.35","1,428.30","1,433.65","1,428.29","5,581,641"
108,"Feb 06, 2020","1,454.10","1,467.00","1,440.10","1,457.80","1,452.35","7,103,715"
109,"Feb 05, 2020","1,434.90","1,452.80","1,430.30","1,448.50","1,443.08","8,444,823"
110,"Feb 04, 2020","1,400.00","1,432.50","1,397.80","1,426.40","1,421.06","11,604,666"
111,"Feb 03, 2020","1,369.90","1,399.95","1,363.05","1,385.50","1,380.32","14,040,626"
112,"Jan 31, 2020","1,453.00","1,453.25","1,407.20","1,411.65","1,406.37","15,886,673"
113,"Jan 30, 2020","1,479.00","1,479.70","1,440.00","1,443.75","1,438.35","10,241,756"
114,"Jan 29, 2020","1,474.05","1,494.40","1,464.05","1,479.85","1,474.31","11,313,297"
115,"Jan 28, 2020","1,508.60","1,510.00","1,463.60","1,471.75","1,466.24","11,215,313"
116,"Jan 27, 2020","1,514.90","1,524.45","1,505.00","1,506.55","1,500.91","6,120,429"
117,"Jan 24, 2020","1,527.00","1,536.35","1,518.55","1,521.55","1,515.86","6,687,633"
